# Created At: Sun Aug 25 2024 14:56:20 GMT-0400 (Eastern Daylight Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=GRIA1%2CGRIA2%2CGRIA3%2CGRIA4%2CGRIK1%2CGRIK2%2CGRIK3%2CGRIK4%2CGRIK5%2CGRIN1%2CGRIN2A%2CGRIN2B%2CGRIN2C%2CGRIN2D%2CGRIN3A%2CGRIN3B%2CGRID1%2CGRID2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
adrenal gland,aggregated,129241,0.10%,GRIN3B,2.24932246245155,0.4225347755611636,129
adrenal gland,aggregated,129241,3.13%,GRID1,2.4684796303871326,0.5300953506392035,4049
adrenal gland,aggregated,129241,2.77%,GRID2,2.440074722571189,0.5161544503779827,3582
bladder organ,aggregated,26544,,GRIA1,,,
bladder organ,aggregated,26544,,GRIA2,,,
bladder organ,aggregated,26544,0.00%,GRIA3,1.390433669090271,0.000999064855240569,1
bladder organ,aggregated,26544,0.00%,GRIA4,1.4319231510162354,0.02136176883468964,1
bladder organ,aggregated,26544,0.02%,GRIK1,1.7736543416976929,0.18908068826608584,4
bladder organ,aggregated,26544,0.00%,GRIK2,1.4569213390350342,0.0336306784238175,1
bladder organ,aggregated,26544,0.01%,GRIK3,1.7095810572306316,0.15763403566815815,3
bladder organ,aggregated,26544,0.00%,GRIK4,1.5936273336410522,0.10072488088568168,1
bladder organ,aggregated,26544,0.00%,GRIK5,1.407669186592102,0.009458118199137965,1
bladder organ,aggregated,26544,,GRIN1,,,
bladder organ,aggregated,26544,0.00%,GRIN2A,1.434475302696228,0.022614344349203893,1
bladder organ,aggregated,26544,,GRIN2B,,,
bladder organ,aggregated,26544,0.01%,GRIN2C,1.4119688272476196,0.01156834724568381,2
