names	A_loading	corrs	color
Mcpt4	1	-0.930680081195377	Blue
Serpinb1a	1	-0.762640622090657	Blue
Mrgprb1	1	-0.878975632240079	Blue
Mrgprb2	1	-0.930680081195377	Blue
Rgs18	1	-0.788492846568306	Blue
Pgrmc1	1	-0.814345071045955	Blue
Krt4	1	-0.788492846568306	Blue
Id2	1	-0.878975632240079	Blue
Slc6a4	1	-0.853123407762429	Blue
Me2	1	-0.930680081195377	Blue
Otulinl	1	-0.710936173135358	Blue
Chst1	1	-0.672157836418884	Blue
Gcsam	1	-0.878975632240079	Blue
Clec10a	1	-0.723862285374183	Blue
Cd81	1	-0.710936173135358	Blue
Ramp1	1	-0.82727118328478	Blue
Bcap31	1	-0.74325145373242	Blue
Fech	1	-0.672157836418884	Blue
Mrgprx2	1	-0.904827856717728	Blue
Selenof	1	-0.878975632240079	Blue
Adk	1	-0.930680081195377	Blue
H2az1	1	-0.930680081195377	Blue
Cma1	0.218026815228375	-0.930680081195377	Blue
Cmtm7	0.146577129881776	-0.930680081195377	Blue
Ywhab	0.0560410637080653	-0.930680081195377	Blue
Gnb4	1	-0.904827856717728	Blue
Mcpt-ps1	1	-0.904827856717728	Blue
Hs2st1	0.139789984986338	-0.904827856717728	Blue
Slc29a1	1	-0.891901744478904	Blue
Cyp11a1	0.151397292333003	-0.891901744478904	Blue
Slc52a3	1	-0.878975632240079	Blue
Gvin1	0.0237122794269755	0.878975632240079	Red
