sampleName,Groups
1600nM_SYM1,SYM
1600nM_SYM2,SYM
1600nM_SYM4,SYM
1600nM_SYM5,SYM
glutamate_1,GLU
glutamate_2,GLU
glutamate_3,GLU
glutamate_5,GLU
untreated_1,UNT
untreated_2,UNT
untreated_4,UNT
untreated_5,UNT
